publishedAt,title,description,kind,videoID,channelId,channelTitle
2015-01-28T15:21:29.000Z,Blueberry PROTEIN Cheesecake Recipe,Subscribe to the Labrada Nutrition YouTube Channel: http://bit.ly/1ACIse9 $20 Kitchen Scale: http://amzn.to/2k8YrPt My $10 6x2 Cheesecake pan: ...,youtube#video,Q1ZmKsa0Zxs,UCNi6v2iv_jMxCoYRBQQi7zg,The Protein Chef
2013-08-16T23:00:15.000Z,Blueberry Lemon Cheesecake Bars: Recipe: How To Make: Easy! Diane Kometa-Dishin' With Di Recipe #100,Cheesecake Bars Recipe! How To Make Lemon Blueberry Cheesecake Bars: Recipe: Lemon Cheesecake Recipe with Blueberries & Graham Cracker Crust!,youtube#video,ZOPqQ7UT9bA,UCxqrsWlkf6kRUhxBYlKgmJA,Dishin With Di
2017-01-12T20:00:00.000Z,No Bake Strawberry Cheesecake recipe - How to make DIY,This no bake cheesecake recipe is so easy to make and is kid friendly & with tasty strawberries mixed in its the perfect dessert. Watch all my delicious No Bake ...,youtube#video,A25Ichn7Qs0,UCVyTdgzzKziBiJlepEVrV-w,Todd's Kitchen
2015-01-17T17:48:57.000Z,Chocolate Explosion PROTEIN Cheesecake Recipe (Healthy 'N Fit),"If you're craving cheesecake then this delicious, low fat, low sugar, and rich Chocolate Explosion Protein Cheesecake will be your new best friend! Purchase ...",youtube#video,qfD2HV5K0Og,UChgIJJkHfBSNMYADYrTuNcA,Healthy 'N Fit
2015-05-27T12:52:44.000Z,How to Make Mason Jar No Bake Cheesecake (recipe),OPEN ME UP TO FIND OUT HOW TO MAKE NO BAKE CHEESECAKE! Don't forget to like and subscribe :) Instagram: tjskitchenn Recipe: ...,youtube#video,RDF00IgI3SM,UC25ajzoFyOAVGPUXVaVoQ-w,Tara Cormack
2013-05-12T10:25:39.000Z,Diabetic New York Cheesecake Recipe : Recipes for Diabetics,Subscribe Now: http://www.youtube.com/subscription_center?add_user=Cookingguide Watch More: http://www.youtube.com/Cookingguide Diabetic New York ...,youtube#video,2uWp4_O3DBc,UCYi94_nIjKFagWkJASXgJDQ,cookingguide
2013-12-11T23:07:22.000Z,PROTEIN Pumpkin Cheesecake Recipe (Bodybuilding/Low Fat),My $10 6x2 Cheesecake pan: http://amzn.to/2fbhIfP Cheap food processor: http://amzn.to/2kjWrY8 If you're in the mood for something Pumpkin or just love ...,youtube#video,R2k9ebKChcg,UCNi6v2iv_jMxCoYRBQQi7zg,The Protein Chef
2008-01-19T04:05:10.000Z,New York Cheesecake Recipe : Adding Eggs To Filling For New York Cheesecake,How to add eggs to the filling for New York cheesecake; get expert tips on baking homemade dessert recipes in this free cooking video. Expert: Kip Bradford Bio: ...,youtube#video,BOYEGo508JI,UCQlGBspQdj17WOPBQMT1k9A,expertvillage
2010-11-16T00:49:54.000Z,Cheesecake Recipe by Chef Michael Symon,"In this cooking video, The Chew host, Chef Michael Symon shows us how to make a savory cheesecake with bold Wisconsin Gorgonzola, cream cheese, sour ...",youtube#video,T_6VqgSP1zs,UCbXUqsRMcGdlAX9FlziUV7w,FFChefMichaelSymon
2012-11-04T20:37:12.000Z,Dulce de Leche Cheesecake Recipe - LeGourmetTV,Ingredients: Crust 1¼ cups (300mL) graham cracker crumbs 1/4 cup (50mL) packed brown sugar 1/3 cup (75mL) butter melted 1/2 cup (125mL) Eagle Brand® ...,youtube#video,GErcxpWg_qQ,UCsU15yvILBmnHPeAf4SFVaQ,LeGourmetTV Recipes
